| Backend Count |      JSON | JSON (zone) | JSON (2 ports + zone) |  Protobuf | Protobuf LZ4 | Protobuf zstd |
| ------------- | --------- | ----------- | --------------------- | --------- | ------------ | ------------- |
|             1 |      355B |        431B |                  470B |      147B |         151B |          137B |
|            10 |      823B |     1.46KiB |               1.84KiB |      274B |         238B |          182B |
|           100 |   5.46KiB |    12.00KiB |              15.81KiB |   1.50KiB |      1.02KiB |          281B |
|          1000 |  52.60KiB |   118.59KiB |             156.67KiB |  14.29KiB |      8.45KiB |       1.96KiB |
|          5000 | 264.20KiB |   596.48KiB |             786.91KiB |  71.12KiB |     32.88KiB |       9.84KiB |
|         10000 | 530.69KiB |     1.17MiB |               1.54MiB | 142.17KiB |     63.46KiB |      19.81KiB |
|         50000 |   2.62MiB |     5.91MiB |               7.77MiB | 710.53KiB |    307.69KiB |      99.12KiB |
|        100000 |   5.25MiB |    11.83MiB |              15.55MiB |   1.39MiB |    612.92KiB |     211.68KiB |
|        150000 |   7.88MiB |    17.75MiB |              23.33MiB |   2.08MiB |    918.13KiB |     323.10KiB |
